,sourcecode_content,sourcecode_identifiers,sourcecode_comment,dependency relations,README,descriptions,tags,wiki_pages,user_name,repo names,license,programming_language,contributors,stars,forks,release,folder names,file names,file extentions,repo structure,issues/PRs/discussion labels,commit messages,PR tiltle and bodies,Issue titles and bodies,other metadata,组合特征数,,other metadata: Information whether the repository is a fork、Information whether the repository has a website、Size of repository、Number of watchers、Information whether the repository has a wiki、Information whether the repository has pages (website hosted by GitHub)、Number of bugs、Number of subscribers)、the percentage distribution of programming languages in a repository
2022,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,,
2020,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,
2021,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,
2023,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,,
2020,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,,
2021,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,7,,
2017,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,1,0,1,0,0,1,9,,
2022,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,12,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
组合特征数量,readme,sourcecode_content,descriptions,user_name,,,,,,,,,,,,,,,,,,,,,,,,
1,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
,description + readme,sourcecode_identifiers + dependency relations,sourcecode_identifiers+ sourcecode_comment,readme + tags,sourcecode_content+ README,dependency relations + README,dependency relations + file names,,,,,,,,,,,,,,,,,,,,,
2,4,2,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,
